0 ['98', '118', '9', '157', '207', '187', '196', '205', '12', '48', '62', '50', '5', '32', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '136', '6', '163', '195', '220', '107', '189', '132', '202', '16', '219', '58', '2', '155', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91']
34 ['98', '157', '196', '62', '79', '61', '76', '172', '117', '95', '6', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186']
35 ['98', '157', '62', '79', '61', '95', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203']
36 ['98', '157', '62', '79', '61', '95', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203']
37 ['98', '157', '62', '79', '61', '95', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203']
38 ['98', '157', '62', '79', '61', '95', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203', '31', '213', '129']
39 ['98', '157', '62', '79', '61', '95', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203', '31', '213', '129']
40 ['98', '157', '62', '79', '61', '95', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142']
41 ['98', '157', '62', '79', '61', '95', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142']
42 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141']
43 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141']
44 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
45 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
46 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
47 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
48 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
49 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
50 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
51 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
52 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
53 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
54 ['98', '157', '62', '79', '61', '95', '58', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '38', '52']
65 ['157', '62', '79', '61', '95', '58', '25', '66', '214', '171', '91', '136', '17', '107', '12', '24', '20', '202', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64']
66 ['157', '62', '79', '61', '95', '58', '25', '66', '214', '171', '91', '136', '17', '107', '12', '24', '20', '202', '70', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64']
67 ['157', '62', '79', '61', '95', '58', '25', '66', '214', '171', '91', '136', '107', '12', '24', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37']
68 ['157', '62', '79', '61', '95', '58', '25', '66', '214', '171', '91', '136', '107', '12', '24', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37']
69 ['157', '62', '79', '61', '95', '58', '25', '66', '214', '171', '91', '136', '107', '12', '24', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37']
70 ['157', '62', '79', '61', '95', '58', '25', '66', '214', '171', '91', '136', '107', '12', '24', '210', '220', '165', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37']
71 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '47', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56']
72 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145']
73 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145']
74 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145']
75 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '5', '108', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145']
76 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145', '80', '234']
77 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145', '80', '234']
78 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145', '80', '234']
79 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145', '80', '234']
80 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145', '80', '234']
81 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145', '80', '234']
82 ['157', '62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '107', '12', '24', '220', '77', '76', '196', '203', '31', '213', '129', '163', '142', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145', '80', '234']
83 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '56', '145', '80', '234', '157', '51', '107', '142', '92']
84 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '80', '234', '157', '51', '107', '142', '92', '150']
85 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '80', '234', '157', '51', '107', '142', '92', '150']
86 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '80', '234', '157', '51', '107', '142', '92', '150']
87 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '80', '234', '157', '51', '107', '142', '92', '150']
88 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '80', '234', '157', '51', '107', '142', '92', '150']
89 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '52', '174', '18', '94', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '80', '234', '157', '51', '107', '142', '92', '150']
90 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
91 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
92 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
93 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
94 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
95 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
96 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
97 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
98 ['62', '79', '61', '95', '25', '66', '214', '171', '91', '136', '12', '24', '220', '77', '76', '196', '203', '31', '129', '141', '84', '226', '227', '208', '90', '38', '119', '175', '125', '177', '64', '146', '139', '148', '37', '58', '93', '145', '234', '157', '51', '107', '142', '92', '150', '80', '123', '106', '223', '225']
